Team,Game ID,Win/Lose,Player_1,Player_2,Player_3,Player_4,Player_5,Role_1,Role_2,Role_3,Role_4,Role_5,Level_1,Level_2,Level_3,Level_4,Level_5,Kills_1,Kills_2,Kills_3,Kills_4,Kills_5,Deaths_1,Deaths_2,Deaths_3,Deaths_4,Deaths_5,Assists_1,Assists_2,Assists_3,Assists_4,Assists_5,KDA_1,KDA_2,KDA_3,KDA_4,KDA_5,CS_1,CS_2,CS_3,CS_4,CS_5,CS in Team's Jungle_1,CS in Team's Jungle_2,CS in Team's Jungle_3,CS in Team's Jungle_4,CS in Team's Jungle_5,CS in Enemy Jungle_1,CS in Enemy Jungle_2,CS in Enemy Jungle_3,CS in Enemy Jungle_4,CS in Enemy Jungle_5,CSM_1,CSM_2,CSM_3,CSM_4,CSM_5,Golds_1,Golds_2,Golds_3,Golds_4,Golds_5,GPM_1,GPM_2,GPM_3,GPM_4,GPM_5,GOLD%_1,GOLD%_2,GOLD%_3,GOLD%_4,GOLD%_5,Vision Score_1,Vision Score_2,Vision Score_3,Vision Score_4,Vision Score_5,Wards placed_1,Wards placed_2,Wards placed_3,Wards placed_4,Wards placed_5,Wards destroyed_1,Wards destroyed_2,Wards destroyed_3,Wards destroyed_4,Wards destroyed_5,Control Wards Purchased_1,Control Wards Purchased_2,Control Wards Purchased_3,Control Wards Purchased_4,Control Wards Purchased_5,Detector Wards Placed_1,Detector Wards Placed_2,Detector Wards Placed_3,Detector Wards Placed_4,Detector Wards Placed_5,VSPM_1,VSPM_2,VSPM_3,VSPM_4,VSPM_5,WPM_1,WPM_2,WPM_3,WPM_4,WPM_5,VWPM_1,VWPM_2,VWPM_3,VWPM_4,VWPM_5,WCPM_1,WCPM_2,WCPM_3,WCPM_4,WCPM_5,VS%_1,VS%_2,VS%_3,VS%_4,VS%_5,Total damage to Champion_1,Total damage to Champion_2,Total damage to Champion_3,Total damage to Champion_4,Total damage to Champion_5,Physical Damage_1,Physical Damage_2,Physical Damage_3,Physical Damage_4,Physical Damage_5,Magic Damage_1,Magic Damage_2,Magic Damage_3,Magic Damage_4,Magic Damage_5,True Damage_1,True Damage_2,True Damage_3,True Damage_4,True Damage_5,DPM_1,DPM_2,DPM_3,DPM_4,DPM_5,DMG%_1,DMG%_2,DMG%_3,DMG%_4,DMG%_5,K+A Per Minute_1,K+A Per Minute_2,K+A Per Minute_3,K+A Per Minute_4,K+A Per Minute_5,KP%_1,KP%_2,KP%_3,KP%_4,KP%_5,Solo kills_1,Solo kills_2,Solo kills_3,Solo kills_4,Solo kills_5,Double kills_1,Double kills_2,Double kills_3,Double kills_4,Double kills_5,Triple kills_1,Triple kills_2,Triple kills_3,Triple kills_4,Triple kills_5,Quadra kills_1,Quadra kills_2,Quadra kills_3,Quadra kills_4,Quadra kills_5,Penta kills_1,Penta kills_2,Penta kills_3,Penta kills_4,Penta kills_5,GD@15_1,GD@15_2,GD@15_3,GD@15_4,GD@15_5,CSD@15_1,CSD@15_2,CSD@15_3,CSD@15_4,CSD@15_5,XPD@15_1,XPD@15_2,XPD@15_3,XPD@15_4,XPD@15_5,LVLD@15_1,LVLD@15_2,LVLD@15_3,LVLD@15_4,LVLD@15_5,Objectives Stolen_1,Objectives Stolen_2,Objectives Stolen_3,Objectives Stolen_4,Objectives Stolen_5,Damage dealt to turrets_1,Damage dealt to turrets_2,Damage dealt to turrets_3,Damage dealt to turrets_4,Damage dealt to turrets_5,Damage dealt to buildings_1,Damage dealt to buildings_2,Damage dealt to buildings_3,Damage dealt to buildings_4,Damage dealt to buildings_5,Total heal_1,Total heal_2,Total heal_3,Total heal_4,Total heal_5,Total Heals On Teammates_1,Total Heals On Teammates_2,Total Heals On Teammates_3,Total Heals On Teammates_4,Total Heals On Teammates_5,Damage self mitigated_1,Damage self mitigated_2,Damage self mitigated_3,Damage self mitigated_4,Damage self mitigated_5,Total Damage Shielded On Teammates_1,Total Damage Shielded On Teammates_2,Total Damage Shielded On Teammates_3,Total Damage Shielded On Teammates_4,Total Damage Shielded On Teammates_5,Time ccing others_1,Time ccing others_2,Time ccing others_3,Time ccing others_4,Time ccing others_5,Total Time CC Dealt_1,Total Time CC Dealt_2,Total Time CC Dealt_3,Total Time CC Dealt_4,Total Time CC Dealt_5,Total damage taken_1,Total damage taken_2,Total damage taken_3,Total damage taken_4,Total damage taken_5,Total Time Spent Dead_1,Total Time Spent Dead_2,Total Time Spent Dead_3,Total Time Spent Dead_4,Total Time Spent Dead_5,Consumables purchased_1,Consumables purchased_2,Consumables purchased_3,Consumables purchased_4,Consumables purchased_5,Items Purchased_1,Items Purchased_2,Items Purchased_3,Items Purchased_4,Items Purchased_5,Shutdown bounty collected_1,Shutdown bounty collected_2,Shutdown bounty collected_3,Shutdown bounty collected_4,Shutdown bounty collected_5,Shutdown bounty lost_1,Shutdown bounty lost_2,Shutdown bounty lost_3,Shutdown bounty lost_4,Shutdown bounty lost_5
GAM Esports,44347,LOSS,Kiaya,Levi,Kati,Sty1e,Bie,TOP,JUNGLE,MID,ADC,SUPPORT,13,11,14,12,10,2,0,0,3,1,4,6,2,5,6,0,6,5,2,4,0.5,1,2.5,1,0.8,183,106,234,198,28,0,88,12,10,0,,,,,,7.4,4.3,9.4,8,1.1,7881,6389,8890,9311,5908,317,257,358,375,238,20.5%,16.6%,23.2%,24.3%,15.4%,19,33,27,12,56,11,7,14,5,41,2,10,2,4,4,5,6,7,1,9,5,6,6,0,8,0.76,1.33,1.09,0.48,2.25,0.44,0.28,0.56,0.2,1.65,0.2,0.24,0.28,0.04,0.36,0.08,0.4,0.08,0.16,0.16,12.9%,22.4%,18.4%,8.2%,38.1%,7967,5666,9671,8912,3900,5380,2573,399,6601,608,2587,2637,9060,1614,2576,0,456,212,697,716,321,228,389,359,157,22.1%,15.7%,26.8%,24.7%,10.8%,0.08,0.24,0.2,0.2,0.2,33.3%,100%,83.3%,83.3%,83.3%,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,-68,-1487,-2969,-913,6,22,-9,-50,22,871,643,-999,-1550,-780,1,1,0,-1,-1,0,0,0,0,0,0,1055,2508,0,0,0,1055,2508,0,0,3836,5705,1425,1726,1380,0,482,0,0,287,19014,21619,5789,9123,15472,0,0,0,0,0,7,17,11,2,21,86,491,180,6,104,20831,23164,11416,16130,13707,115,139,60,89,105,7,6,9,5,15,19,19,23,23,26,,,,,,,,,,
GAM Esports,44349,LOSS,Kiaya,Levi,Kati,Sty1e,Bie,TOP,JUNGLE,MID,ADC,SUPPORT,18,16,18,16,14,4,0,1,0,0,1,2,5,3,3,1,5,2,3,3,5,2.5,0.6,1,1,300,257,360,353,43,5,202,36,35,0,,,,,,8,6.8,9.6,9.4,1.1,14460,12347,14005,14171,7710,384,328,372,376,205,23.1%,19.7%,22.3%,22.6%,12.3%,36,114,37,52,100,8,43,18,20,81,9,31,5,12,8,2,10,8,8,25,2,10,5,7,23,0.96,3.03,0.98,1.38,2.66,0.21,1.14,0.48,0.53,2.15,0.05,0.27,0.21,0.21,0.66,0.24,0.82,0.13,0.32,0.21,10.6%,33.6%,10.9%,15.3%,29.5%,14930,11820,18970,13033,2503,7570,10917,82,8982,123,957,399,18888,3901,1799,6403,504,0,150,581,397,314,504,346,66,24.4%,19.3%,31%,21.3%,4.1%,0.13,0.13,0.08,0.08,0.08,100%,100%,60%,60%,60%,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,-235,-842,-2013,-464,12,31,-9,-47,26,742,110,-282,-633,29,1,1,-1,-1,0,0,1,0,0,0,7168,1774,657,540,204,7168,1774,657,540,204,6281,7648,587,2125,1363,0,0,0,725,99,26521,11708,13641,16155,13074,0,0,0,0,2854,19,15,22,25,4,964,478,360,485,51,22818,17623,13838,12660,13724,0,47,111,37,86,3,10,11,9,27,23,29,30,31,46,,,,,,,,,,
GAM Esports,44360,LOSS,Kiaya,Levi,Kati,Sty1e,Bie,TOP,JUNGLE,MID,ADC,SUPPORT,13,11,13,12,9,2,1,3,0,0,4,4,2,2,3,2,4,3,4,3,1,1.3,3,2,1,182,151,186,193,34,8,115,16,6,0,,,,,,7.8,6.4,7.9,8.2,1.5,8460,8033,8655,7691,4959,361,343,369,328,212,22.4%,21.3%,22.9%,20.3%,13.1%,17,67,19,12,42,8,23,10,7,37,4,18,2,4,6,2,5,2,1,11,2,4,2,0,10,0.73,2.86,0.81,0.51,1.79,0.34,0.98,0.43,0.3,1.58,0.09,0.21,0.09,0.04,0.47,0.17,0.77,0.09,0.17,0.26,10.8%,42.7%,12.1%,7.6%,26.8%,8049,5283,10865,7665,1709,5625,4571,964,4355,437,2424,396,9655,2578,854,0,316,246,732,418,343,225,464,327,73,24%,15.7%,32.4%,22.8%,5.1%,0.17,0.21,0.26,0.17,0.13,66.7%,83.3%,100%,66.7%,50%,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-798,-201,-749,-1441,-359,5,16,-4,-35,-3,-331,332,-158,-1062,-173,0,0,0,-1,0,0,1,0,0,0,0,433,363,0,0,0,433,363,0,0,2080,4592,251,920,227,0,0,0,0,0,10735,7369,2936,4388,8648,0,0,0,0,0,8,5,17,1,20,129,290,427,32,53,14891,13332,6857,8325,9421,114,110,48,33,76,5,5,2,2,13,19,22,15,17,23,,,,,,,,,,
GAM Esports,44373,LOSS,Kiaya,Levi,Kati,Sty1e,Bie,TOP,JUNGLE,MID,ADC,SUPPORT,15,14,14,14,11,1,4,2,0,2,4,6,2,5,2,6,3,4,5,3,1.8,1.2,3,1,2.5,246,210,187,273,35,4,147,0,34,0,,,,,,8,6.8,6.1,8.9,1.1,10643,11228,9507,11396,6770,347,366,310,371,221,21.5%,22.7%,19.2%,23%,13.7%,20,81,16,49,68,7,34,9,28,45,5,28,2,11,4,0,6,7,4,12,0,5,4,4,11,0.65,2.64,0.52,1.6,2.21,0.23,1.11,0.29,0.91,1.47,0,0.2,0.23,0.13,0.39,0.16,0.91,0.07,0.36,0.13,8.5%,34.6%,6.8%,20.9%,29.1%,9958,13966,12735,7505,5144,9376,11832,103,7156,3110,582,637,12632,181,91,0,1497,0,168,1943,324,455,415,244,168,20.2%,28.3%,25.8%,15.2%,10.4%,0.23,0.23,0.2,0.16,0.16,77.8%,77.8%,66.7%,55.6%,55.6%,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,937,-1568,-215,423,0,23,-38,-4,18,-275,913,-1337,405,117,-1,1,-2,0,0,0,0,0,0,0,0,1561,1111,1114,188,0,1561,1111,1114,188,8609,8453,2331,2570,689,0,0,0,590,0,28256,18131,25830,13788,20343,0,0,1302,0,0,8,21,22,10,17,27,395,51,297,119,29958,23529,19568,15765,18347,125,180,95,136,71,2,6,7,5,14,21,19,26,23,28,,,,,,,,,,
GAM Esports,44374,WIN,Kiaya,Levi,Kati,Sty1e,Bie,TOP,JUNGLE,MID,ADC,SUPPORT,17,18,16,17,15,1,9,2,7,2,4,5,5,2,1,12,11,12,5,15,3.3,4,2.8,6,17,265,266,209,404,23,0,191,0,23,0,,,,,,6.4,6.4,5,9.7,0.6,13135,18903,12433,18665,9592,316,455,299,450,231,18.1%,26%,17.1%,25.7%,13.2%,29,58,40,69,140,23,21,11,20,102,3,7,19,32,20,9,11,10,7,20,8,9,9,7,19,0.7,1.4,0.96,1.66,3.37,0.55,0.51,0.26,0.48,2.46,0.22,0.26,0.24,0.17,0.48,0.07,0.17,0.46,0.77,0.48,8.6%,17.3%,11.9%,20.5%,41.7%,20982,54651,15274,23182,7691,6846,90,10349,16777,888,13276,48754,2365,2819,5098,860,5807,2560,3586,1705,505,1316,368,558,185,17.2%,44.9%,12.5%,19%,6.3%,0.31,0.48,0.34,0.29,0.41,61.9%,95.2%,66.7%,57.1%,81%,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-496,-145,-1633,-349,153,-9,-23,-19,-11,-3,-421,-1114,-1054,-72,-350,-1,-1,-1,0,0,0,0,0,0,0,3782,3184,1584,3665,684,3782,3184,1584,3665,684,8603,9310,10176,4345,2630,0,0,0,0,522,91058,18783,83521,37481,16270,0,0,0,0,11295,46,28,29,17,22,2129,261,822,586,171,45412,26585,54429,25627,12955,204,203,199,95,53,10,12,11,12,24,30,36,30,37,41,,,,,,,,,,
GAM Esports,44376,LOSS,Kiaya,Levi,Kati,Sty1e,Bie,TOP,JUNGLE,MID,ADC,SUPPORT,15,13,16,14,12,0,2,1,3,1,5,4,3,3,4,1,5,3,4,4,0.2,1.8,1.3,2.3,1.3,237,125,274,292,33,10,106,32,31,0,,,,,,7.5,4,8.7,9.3,1,9629,8443,11329,12624,7192,306,268,360,401,228,19.6%,17.2%,23%,25.6%,14.6%,23,39,27,54,68,10,13,13,31,52,3,9,4,10,9,5,14,6,8,16,5,12,4,8,15,0.73,1.24,0.86,1.71,2.16,0.32,0.41,0.41,0.98,1.65,0.16,0.44,0.19,0.25,0.51,0.1,0.29,0.13,0.32,0.29,10.9%,18.5%,12.8%,25.6%,32.2%,16794,7958,13676,16408,9035,9551,5987,1182,13980,368,1947,1412,11293,782,7523,5296,559,1201,1646,1144,533,253,434,521,287,26.3%,12.5%,21.4%,25.7%,14.1%,0.03,0.22,0.13,0.22,0.16,14.3%,100%,57.1%,100%,71.4%,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1083,-567,509,-279,-556,-11,-27,2,-1,3,-761,-850,191,-446,30,0,-1,0,0,0,0,0,0,0,0,1041,65,754,2606,938,1041,65,754,2606,938,12117,7415,5093,1141,1158,0,0,0,0,0,34222,34278,18265,16171,5353,0,0,0,0,0,4,16,36,18,32,96,460,1487,498,224,33538,28299,27705,15916,12834,156,79,57,66,61,6,14,6,11,23,24,29,21,34,38,,,,,,,,,,
